path,class,label
/content/dataset_raw_clean/Monkeypox Skin Image Dataset/Chickenpox/chickenpox58.png,Chickenpox,1
/content/dataset_raw_clean/Monkeypox Skin Image Dataset/Chickenpox/chickenpox64.png,Chickenpox,1
/content/dataset_raw_clean/Monkeypox Skin Image Dataset/Chickenpox/chickenpox48.png,Chickenpox,1
/content/dataset_raw_clean/Monkeypox Skin Image Dataset/Chickenpox/chickenpox84.png,Chickenpox,1
/content/dataset_raw_clean/Monkeypox Skin Image Dataset/Chickenpox/chickenpox20.png,Chickenpox,1
/content/dataset_raw_clean/Monkeypox Skin Image Dataset/Chickenpox/chickenpox22.png,Chickenpox,1
/content/dataset_raw_clean/Monkeypox Skin Image Dataset/Chickenpox/chickenpox69.png,Chickenpox,1
/content/dataset_raw_clean/Monkeypox Skin Image Dataset/Chickenpox/chickenpox107.png,Chickenpox,1
/content/dataset_raw_clean/Monkeypox Skin Image Dataset/Chickenpox/chickenpox1.png,Chickenpox,1
/content/dataset_raw_clean/Monkeypox Skin Image Dataset/Chickenpox/chickenpox83.png,Chickenpox,1
/content/dataset_raw_clean/Monkeypox Skin Image Dataset/Chickenpox/chickenpox34.png,Chickenpox,1
/content/dataset_raw_clean/Monkeypox Skin Image Dataset/Chickenpox/chickenpox73.png,Chickenpox,1
/content/dataset_raw_clean/Monkeypox Skin Image Dataset/Chickenpox/chickenpox5.png,Chickenpox,1
/content/dataset_raw_clean/Monkeypox Skin Image Dataset/Chickenpox/chickenpox45.png,Chickenpox,1
/content/dataset_raw_clean/Monkeypox Skin Image Dataset/Chickenpox/chickenpox70.png,Chickenpox,1
/content/dataset_raw_clean/Monkeypox Skin Image Dataset/Chickenpox/chickenpox41.png,Chickenpox,1
/content/dataset_raw_clean/Monkeypox Skin Image Dataset/Chickenpox/chickenpox19.png,Chickenpox,1
/content/dataset_raw_clean/Monkeypox Skin Image Dataset/Chickenpox/chickenpox79.png,Chickenpox,1
/content/dataset_raw_clean/Monkeypox Skin Image Dataset/Chickenpox/chickenpox2.png,Chickenpox,1
/content/dataset_raw_clean/Monkeypox Skin Image Dataset/Chickenpox/chickenpox10.png,Chickenpox,1
/content/dataset_raw_clean/Monkeypox Skin Image Dataset/Chickenpox/chickenpox80.png,Chickenpox,1
/content/dataset_raw_clean/Monkeypox Skin Image Dataset/Chickenpox/chickenpox23.png,Chickenpox,1
/content/dataset_raw_clean/Monkeypox Skin Image Dataset/Chickenpox/chickenpox55.png,Chickenpox,1
/content/dataset_raw_clean/Monkeypox Skin Image Dataset/Chickenpox/chickenpox88.png,Chickenpox,1
/content/dataset_raw_clean/Monkeypox Skin Image Dataset/Chickenpox/chickenpox56.png,Chickenpox,1
/content/dataset_raw_clean/Monkeypox Skin Image Dataset/Chickenpox/chickenpox100.png,Chickenpox,1
/content/dataset_raw_clean/Monkeypox Skin Image Dataset/Chickenpox/chickenpox38.png,Chickenpox,1
/content/dataset_raw_clean/Monkeypox Skin Image Dataset/Chickenpox/chickenpox89.png,Chickenpox,1
/content/dataset_raw_clean/Monkeypox Skin Image Dataset/Chickenpox/chickenpox94.png,Chickenpox,1
/content/dataset_raw_clean/Monkeypox Skin Image Dataset/Chickenpox/chickenpox91.png,Chickenpox,1
/content/dataset_raw_clean/Monkeypox Skin Image Dataset/Chickenpox/chickenpox74.png,Chickenpox,1
/content/dataset_raw_clean/Monkeypox Skin Image Dataset/Chickenpox/chickenpox65.png,Chickenpox,1
/content/dataset_raw_clean/Monkeypox Skin Image Dataset/Chickenpox/chickenpox77.png,Chickenpox,1
/content/dataset_raw_clean/Monkeypox Skin Image Dataset/Chickenpox/chickenpox16.png,Chickenpox,1
/content/dataset_raw_clean/Monkeypox Skin Image Dataset/Chickenpox/chickenpox6.png,Chickenpox,1
/content/dataset_raw_clean/Monkeypox Skin Image Dataset/Chickenpox/chickenpox33.png,Chickenpox,1
/content/dataset_raw_clean/Monkeypox Skin Image Dataset/Chickenpox/chickenpox47.png,Chickenpox,1
/content/dataset_raw_clean/Monkeypox Skin Image Dataset/Chickenpox/chickenpox85.png,Chickenpox,1
/content/dataset_raw_clean/Monkeypox Skin Image Dataset/Chickenpox/chickenpox37.png,Chickenpox,1
/content/dataset_raw_clean/Monkeypox Skin Image Dataset/Chickenpox/chickenpox54.png,Chickenpox,1
/content/dataset_raw_clean/Monkeypox Skin Image Dataset/Chickenpox/chickenpox12.png,Chickenpox,1
/content/dataset_raw_clean/Monkeypox Skin Image Dataset/Chickenpox/chickenpox36.png,Chickenpox,1
/content/dataset_raw_clean/Monkeypox Skin Image Dataset/Chickenpox/chickenpox32.png,Chickenpox,1
/content/dataset_raw_clean/Monkeypox Skin Image Dataset/Chickenpox/chickenpox46.png,Chickenpox,1
/content/dataset_raw_clean/Monkeypox Skin Image Dataset/Chickenpox/chickenpox43.png,Chickenpox,1
/content/dataset_raw_clean/Monkeypox Skin Image Dataset/Chickenpox/chickenpox26.png,Chickenpox,1
/content/dataset_raw_clean/Monkeypox Skin Image Dataset/Chickenpox/chickenpox66.png,Chickenpox,1
/content/dataset_raw_clean/Monkeypox Skin Image Dataset/Chickenpox/chickenpox78.png,Chickenpox,1
/content/dataset_raw_clean/Monkeypox Skin Image Dataset/Chickenpox/chickenpox62.png,Chickenpox,1
/content/dataset_raw_clean/Monkeypox Skin Image Dataset/Chickenpox/chickenpox8.png,Chickenpox,1
/content/dataset_raw_clean/Monkeypox Skin Image Dataset/Chickenpox/chickenpox102.png,Chickenpox,1
/content/dataset_raw_clean/Monkeypox Skin Image Dataset/Chickenpox/chickenpox27.png,Chickenpox,1
/content/dataset_raw_clean/Monkeypox Skin Image Dataset/Chickenpox/chickenpox87.png,Chickenpox,1
/content/dataset_raw_clean/Monkeypox Skin Image Dataset/Chickenpox/chickenpox92.png,Chickenpox,1
/content/dataset_raw_clean/Monkeypox Skin Image Dataset/Chickenpox/chickenpox86.png,Chickenpox,1
/content/dataset_raw_clean/Monkeypox Skin Image Dataset/Chickenpox/chickenpox93.png,Chickenpox,1
/content/dataset_raw_clean/Monkeypox Skin Image Dataset/Chickenpox/chickenpox9.png,Chickenpox,1
/content/dataset_raw_clean/Monkeypox Skin Image Dataset/Chickenpox/chickenpox35.png,Chickenpox,1
/content/dataset_raw_clean/Monkeypox Skin Image Dataset/Chickenpox/chickenpox28.png,Chickenpox,1
/content/dataset_raw_clean/Monkeypox Skin Image Dataset/Chickenpox/chickenpox11.png,Chickenpox,1
/content/dataset_raw_clean/Monkeypox Skin Image Dataset/Chickenpox/chickenpox13.png,Chickenpox,1
/content/dataset_raw_clean/Monkeypox Skin Image Dataset/Chickenpox/chickenpox106.png,Chickenpox,1
/content/dataset_raw_clean/Monkeypox Skin Image Dataset/Chickenpox/chickenpox98.png,Chickenpox,1
/content/dataset_raw_clean/Monkeypox Skin Image Dataset/Chickenpox/chickenpox63.png,Chickenpox,1
/content/dataset_raw_clean/Monkeypox Skin Image Dataset/Chickenpox/chickenpox52.png,Chickenpox,1
/content/dataset_raw_clean/Monkeypox Skin Image Dataset/Chickenpox/chickenpox95.png,Chickenpox,1
/content/dataset_raw_clean/Monkeypox Skin Image Dataset/Chickenpox/chickenpox104.png,Chickenpox,1
/content/dataset_raw_clean/Monkeypox Skin Image Dataset/Chickenpox/chickenpox50.png,Chickenpox,1
/content/dataset_raw_clean/Monkeypox Skin Image Dataset/Chickenpox/chickenpox44.png,Chickenpox,1
